,挂单时间,报价,成交手数,成交金额,股票名
0,2021-08-23 09:30:03,19.48,414,806472,平安银行
1,2021-08-23 09:30:36,19.58,45,88109,平安银行
2,2021-08-23 09:31:09,19.61,0,1764,平安银行
3,2021-08-23 09:31:45,19.72,9,17748,平安银行
4,2021-08-23 09:32:18,19.78,77,153097,平安银行
5,2021-08-23 09:32:51,19.83,45,89234,平安银行
6,2021-08-23 09:33:24,20.0,0,1800,平安银行
7,2021-08-23 09:33:57,19.94,20,41275,平安银行
8,2021-08-23 09:34:30,20.0,182,365400,平安银行
9,2021-08-23 09:35:09,19.95,160,319599,平安银行
10,2021-08-23 09:35:42,19.87,39,78685,平安银行
11,2021-08-23 09:36:18,19.86,167,332456,平安银行
12,2021-08-23 09:36:51,19.81,16,32092,平安银行
13,2021-08-23 09:37:24,19.72,87,172155,平安银行
14,2021-08-23 09:37:57,19.65,140,275885,平安银行
15,2021-08-23 09:38:30,19.64,147,289886,平安银行
16,2021-08-23 09:39:09,19.62,11,22955,平安银行
17,2021-08-23 09:39:54,19.57,62,121529,平安银行
18,2021-08-23 09:40:36,19.55,154,302634,平安银行
19,2021-08-23 09:41:18,19.54,1,3517,平安银行
20,2021-08-23 09:41:51,19.53,18,36911,平安银行
21,2021-08-23 09:42:24,19.5,169,329940,平安银行
22,2021-08-23 09:42:57,19.43,78,152136,平安银行
23,2021-08-23 09:43:30,19.41,22,43672,平安银行
24,2021-08-23 09:44:03,19.39,73,143098,平安银行
25,2021-08-23 09:44:36,19.41,113,220109,平安银行
26,2021-08-23 09:45:09,19.43,0,1748,平安银行
27,2021-08-23 09:45:42,19.46,67,131355,平安银行
28,2021-08-23 09:46:18,19.42,63,122346,平安银行
29,2021-08-23 09:46:51,19.45,233,453379,平安银行
30,2021-08-23 09:47:30,19.44,353,687592,平安银行
31,2021-08-23 09:48:03,19.42,435,845935,平安银行
32,2021-08-23 09:48:36,19.42,805,1564281,平安银行
33,2021-08-23 09:49:09,19.42,563,1094122,平安银行
34,2021-08-23 09:49:42,19.39,220,427549,平安银行
35,2021-08-23 09:50:18,19.5,204,398385,平安银行
36,2021-08-23 09:50:51,19.43,14,27979,平安银行
37,2021-08-23 09:51:27,19.39,320,621255,平安银行
38,2021-08-23 09:52:00,19.35,368,712273,平安银行
39,2021-08-23 09:52:36,19.34,417,807638,平安银行
40,2021-08-23 09:53:09,19.33,44,85245,平安银行
41,2021-08-23 09:53:54,19.29,13,26041,平安银行
42,2021-08-23 09:54:33,19.21,635,1220603,平安银行
43,2021-08-23 09:55:24,19.16,17,32763,平安银行
44,2021-08-23 09:56:06,19.18,11,22440,平安银行
45,2021-08-23 09:56:39,19.19,336,645935,平安银行
46,2021-08-23 09:57:15,19.23,162,311526,平安银行
47,2021-08-23 09:57:48,19.24,110,212986,平安银行
48,2021-08-23 09:58:21,19.25,320,616770,平安银行
49,2021-08-23 09:58:54,19.23,26,50190,平安银行
50,2021-08-23 09:59:30,19.28,254,491061,平安银行
51,2021-08-23 10:00:03,19.31,312,603051,平安银行
52,2021-08-23 10:00:36,19.29,9,19097,平安银行
53,2021-08-23 10:01:09,19.28,215,414712,平安银行
54,2021-08-23 10:01:42,19.25,436,840262,平安银行
55,2021-08-23 10:02:16,19.23,1362,2620279,平安银行
56,2021-08-23 10:02:46,19.26,89,171606,平安银行
57,2021-08-23 10:03:22,19.24,65,126406,平安银行
58,2021-08-23 10:03:57,19.27,484,933053,平安银行
59,2021-08-23 10:04:30,19.26,189,365747,平安银行
60,2021-08-23 10:05:03,19.27,862,1661459,平安银行
61,2021-08-23 10:05:36,19.29,742,1432282,平安银行
62,2021-08-23 10:06:10,19.3,334,646164,平安银行
63,2021-08-23 10:06:40,19.3,236,456831,平安银行
64,2021-08-23 10:07:13,19.33,367,709797,平安银行
65,2021-08-23 10:07:48,19.42,119,232457,平安银行
66,2021-08-23 10:08:24,19.51,29,57944,平安银行
67,2021-08-23 10:09:06,19.51,1552,3028927,平安银行
68,2021-08-23 10:09:42,19.52,439,857318,平安银行
69,2021-08-23 10:10:13,19.51,780,1522365,平安银行
70,2021-08-23 10:10:51,19.5,714,1393470,平安银行
71,2021-08-23 10:11:24,19.51,6,12291,平安银行
72,2021-08-23 10:11:57,19.49,32,63147,平安银行
73,2021-08-23 10:12:30,19.5,515,1005615,平安银行
74,2021-08-23 10:13:03,19.5,212,414180,平安银行
75,2021-08-23 10:13:39,19.5,120,235170,平安银行
76,2021-08-23 10:14:12,19.5,528,1030185,平安银行
77,2021-08-23 10:14:43,19.43,736,1430436,平安银行
78,2021-08-23 10:15:16,19.36,32,62726,平安银行
79,2021-08-23 10:15:49,19.34,172,334195,平安银行
80,2021-08-23 10:16:24,19.32,164,318200,平安银行
81,2021-08-23 10:16:57,19.3,426,823338,平安银行
82,2021-08-23 10:17:30,19.32,2,5216,平安银行
83,2021-08-23 10:18:03,19.36,315,611582,平安银行
84,2021-08-23 10:18:36,19.37,279,540423,平安银行
85,2021-08-23 10:19:10,19.41,32,62888,平安银行
86,2021-08-23 10:19:43,19.4,399,775223,平安银行
87,2021-08-23 10:20:18,19.41,334,649846,平安银行
88,2021-08-23 10:20:51,19.41,326,634124,平安银行
89,2021-08-23 10:21:24,19.45,398,775471,平安银行
90,2021-08-23 10:21:58,19.45,129,252071,平安银行
91,2021-08-23 10:22:31,19.47,345,672883,平安银行
92,2021-08-23 10:23:06,19.49,830,1619034,平安银行
93,2021-08-23 10:23:51,19.51,1236,2412606,平安银行
94,2021-08-23 10:24:30,19.47,37,73596,平安银行
95,2021-08-23 10:25:18,19.54,1174,2294973,平安银行
96,2021-08-23 10:25:51,19.52,0,1756,平安银行
97,2021-08-23 10:26:24,19.54,581,1136055,平安银行
98,2021-08-23 10:26:57,19.53,108,210924,平安银行
99,2021-08-23 10:27:30,19.53,22,43942,平安银行
100,2021-08-23 10:27:33,19.17,12888,24707062,平安银行
